"common_name", "species_code"
"American Black Duck", "ambduc"
"American Avocet", "ameavo"
"American Crow", "amecro"
"American Kestrel", "amekes"
"American Oystercatcher", "ameoys"
"American Robin", "amerob"
"American White Pelican", "amwpel"
"Bald Eagle", "baleag"
"Baltimore Oriole", "balori"
"Barn Swallow", "barswa"
"Bell's Vireo", "belvir"
"Bewick's Wren", "bewwre"
"Black Oystercatcher", "blkoys"
"Black Turnstone", "blktur"
"Black Vulture", "blkvul"
"Blue Jay", "blujay"
"Brewer's Sparrow", "brespa"
"Brown Pelican", "brnpel"
"Brown Thrasher", "brnthr"
"Black-throated Blue Warbler", "btbwar"
"Black-throated Gray Warbler", "btywar"
"Blue-gray Gnatcatcher", "buggna"
"Bullock's Oriole", "bulori"
"Blue-winged Teal", "buwtea"
"Blue-winged Warbler", "buwwar"
"Cactus Wren", "cacwre"
"California Gull", "calgul"
"Canada Warbler", "canwar"
"Carolina Wren", "carwre"
"Cave Swallow", "cavswa"
"Cedar Waxwing", "cedwax"
"Chimney Swift", "chiswi"
"Clark's Nutcracker", "clanut"
"Common Loon", "comloo"
"Common Raven", "comrav"
"Common Yellowthroat", "comyel"
"Double-crested Cormorant", "doccor"
"Dunlin", "dunlin"
"Eared Grebe", "eargre"
"Eastern Bluebird", "easblu"
"Eastern Meadowlark", "easmea"
"Eastern Phoebe", "easpho"
"Eastern Towhee", "eastow"
"Eurasian Collared-Dove", "eucdov"
"Field Sparrow", "fiespa"
"Forster's Tern", "forter"
"Franklin's Gull", "fragul"
"Green-tailed Towhee", "gnttow"
"Golden-crowned Kinglet", "gockin"
"Grasshopper Sparrow", "graspa"
"Great Crested Flycatcher", "grcfly"
"Green Heron", "grnher"
"Hammond's Flycatcher", "hamfly"
"Hermit Thrush", "herthr"
"Hooded Warbler", "hoowar"
"Horned Lark", "horlar"
"Hudsonian Godwit", "hudgod"
"Indigo Bunting", "indbun"
"Juniper Titmouse", "juntit1"
"Kentucky Warbler", "kenwar"
"Killdeer", "killde"
"Lark Bunting", "larbun"
"Lazuli Bunting", "lazbun"
"Lewis's Woodpecker", "lewwoo"
"Little Blue Heron", "libher"
"Long-billed Curlew", "lobcur"
"Loggerhead Shrike", "logshr"
"MacGillivray's Warbler", "macwar"
"Magnolia Warbler", "magwar"
"Marbled Godwit", "margod"
"Mountain Bluebird", "moublu"
"Mourning Dove", "moudov"
"Northern Bobwhite", "norbob"
"Northern Flicker", "norfli"
"Northern Rough-winged Swallow", "nrwswa"
"Oak Titmouse", "oaktit"
"Orchard Oriole", "orcori"
"Ovenbird", "ovenbi1"
"Painted Bunting", "paibun"
"Phainopepla", "phaino"
"Pied-billed Grebe", "pibgre"
"Pinyon Jay", "pinjay"
"Prothonotary Warbler", "prowar"
"Purple Finch", "purfin"
"Purple Martin", "purmar"
"Redhead", "redhea"
"Red Knot", "redkno"
"Red-eyed Vireo", "reevir"
"Red-headed Woodpecker", "rehwoo"
"Red-winged Blackbird", "rewbla"
"Ruby-throated Hummingbird", "rthhum"
"Ruby-crowned Kinglet", "ruckin"
"Rufous Hummingbird", "rufhum"
"Rusty Blackbird", "rusbla"
"Sage Thrasher", "sagthr"
"Sandhill Crane", "sancra"
"Sanderling", "sander"
"Scissor-tailed Flycatcher", "sctfly"
"Semipalmated Sandpiper", "semsan"
"Short-billed Dowitcher", "shbdow"
"Snowy Plover", "snoplo5"
"Surfbird", "surfbi"
"Tree Swallow", "treswa"
"Trumpeter Swan", "truswa"
"Verdin", "verdin"
"Violet-green Swallow", "vigswa"
"Warbling Vireo", "warvir"
"Western Bluebird", "wesblu"
"Western Meadowlark", "wesmea"
"Western Sandpiper", "wessan"
"Western Tanager", "westan"
"Whimbrel", "whimbr"
"White-throated Sparrow", "whtspa"
"White-winged Dove", "whwdov"
"Willow Flycatcher", "wilfly"
"Willet", "willet1"
"Wilson's Plover", "wilplo"
"Wood Duck", "wooduc"
"Wood Thrush", "woothr"
"Yellow-breasted Chat", "yebcha"
"Yellow-bellied Sapsucker", "yebsap"
"Yellow Warbler", "yelwar"
